RecipeCode,Recipe,Servings,PrepTimeMins,CookTimeMins,Ingredient,Location,Units,Quantity,Sub Group
XX001,Dummy1,4,30,60,Almonds,Zero-waste,g,1.0,0
XX001,Dummy1,4,30,60,Almond Butter,Carrefour,g,1.0,0
XX001,Dummy1,4,30,60,Bacon,Carrefour,g,1.0,0
XX002,Dummy2,6,15,60,Almonds,Zero-waste,g,1.0,0
EG060,Big Bean Salad,6,15,60,Green Beans,Market,g,300.0,0
EG060,Big Bean Salad,6,15,60,Radishes,Market,handful,1.0,1
EG060,Big Bean Salad,6,15,60,Corn (Canned),Carrefour,handful,2.0,1
EG060,Big Bean Salad,6,15,60,Frozen Peas,Carrefour,handful,2.0,1
EG060,Big Bean Salad,6,15,60,Butterbeans,Carrefour,g,1200.0,2
EG060,Big Bean Salad,6,15,60,Capsicum (Red),Market,medium,1.0,0
EG060,Big Bean Salad,6,15,60,Coriander,Market,handful,2.0,0
EG060,Big Bean Salad,6,15,60,Cashew Nuts,Zero-waste,handful,1.0,0
EG060,Big Bean Salad,6,15,60,Chili (Green),Market,small,2.0,0
EG060,Big Bean Salad,6,15,60,Lime,Market,medium,3.0,0
EG060,Big Bean Salad,6,15,60,Garlic,Market,medium,2.0,0
EG060,Big Bean Salad,6,15,60,Onion (Red),Market,medium,1.0,0
HH176,Moroccan Chicken Stew,4,15,30,Almonds,Zero-waste,handful,1.0,0
HH176,Moroccan Chicken Stew,4,15,30,Onion (Red),Market,medium,2.0,0
HH176,Moroccan Chicken Stew,4,15,30,Garlic,Market,medium,4.0,0
HH176,Moroccan Chicken Stew,4,15,30,Ginger,Market,g,40.0,0
HH176,Moroccan Chicken Stew,4,15,30,Chicken (Thigh),Carrefour,medium,4.0,0
HH176,Moroccan Chicken Stew,4,15,30,Capsicum (Red),Market,medium,2.0,0
HH176,Moroccan Chicken Stew,4,15,30,Lemon,Market,large,1.0,0
HH176,Moroccan Chicken Stew,4,15,30,"Olives (Black, Pitted)",Carrefour,handful,1.0,0
HH176,Moroccan Chicken Stew,4,15,30,Dried Apricots,Online,medium,4.0,0
HH176,Moroccan Chicken Stew,4,15,30,Green Beans,Market,g,150.0,0
HH176,Moroccan Chicken Stew,4,15,30,Coriander,Market,handful,1.0,0
EG126,Tomato & Bean Bake,6,30,60,Butterbeans,Carrefour,g,1200.0,0
EG126,Tomato & Bean Bake,6,30,60,Onion (Red),Market,large,2.0,0
EG126,Tomato & Bean Bake,6,30,60,Garlic,Market,medium,5.0,0
EG126,Tomato & Bean Bake,6,30,60,Parsley,Market,handful,2.0,0
EG126,Tomato & Bean Bake,6,30,60,Tomato Puree,Carrefour,tbsp,2.0,0
EG126,Tomato & Bean Bake,6,30,60,"Tomato (Diced, Tin)",Carrefour,g,800.0,1
EG126,Tomato & Bean Bake,6,30,60,Tomatoes,Market,g,800.0,1
EG126,Tomato & Bean Bake,6,30,60,Green Beans,Market,g,600.0,0
EG126,Tomato & Bean Bake,6,30,60,Lemon,Market,medium,0.5,0
EG126,Tomato & Bean Bake,6,30,60,Feta Cheese,Carrefour,g,400.0,0
EG126,Tomato & Bean Bake,6,30,60,Pine Nuts,Zero-waste,handful,1.0,2
EG126,Tomato & Bean Bake,6,30,60,Walnuts,Zero-waste,handful,1.0,2
GG144,Chicken & Olive Salad,2,15,0,Chicken (Breast),Carrefour,medium,2.0,0
GG144,Chicken & Olive Salad,2,15,0,Garlic,Market,large,1.0,0
GG144,Chicken & Olive Salad,2,15,0,Lemon,Market,medium,1.0,0
GG144,Chicken & Olive Salad,2,15,0,Yogurt,Carrefour,tbsp,4.0,0
GG144,Chicken & Olive Salad,2,15,0,Lettuce,Market,medium,1.0,0
GG144,Chicken & Olive Salad,2,15,0,"Olives (Black, Pitted)",Carrefour,medium,10.0,0
GG144,Chicken & Olive Salad,2,15,0,Pine Nuts,Zero-waste,handful,2.0,0
HH204,Quinoa Risotto,4,25,45,Onion (Red),Market,medium,2.0,1
HH204,Quinoa Risotto,4,25,45,Leeks,Carrefour,medium,2.0,1
HH204,Quinoa Risotto,4,25,45,Garlic,Market,medium,3.0,0
HH204,Quinoa Risotto,4,25,45,Quinoa,Zero-waste,g,250.0,0
HH204,Quinoa Risotto,4,25,45,Asparagus,Market,g,700.0,0
HH204,Quinoa Risotto,4,25,45,Frozen Peas,Carrefour,handful,2.0,0
HH204,Quinoa Risotto,4,25,45,Lemon Juice,Market,tbsp,1.0,0
HH204,Quinoa Risotto,4,25,45,Parsley,Market,g,30.0,0
HH204,Quinoa Risotto,4,25,45,Mint,Market,g,10.0,0
